variety,variety_count,winery_count,vintage_low,vintage_high
Bordeaux-style Red Blend,232,91,1997,2016
Cabernet Franc,75,36,1999,2017
Cabernet Sauvignon,1971,319,1985,2015
Chardonnay,1419,244,1998,2017
Fumé Blanc,52,4,1998,2016
Merlot,360,96,1997,2016
Petite Sirah,91,37,2005,2016
Pinot Noir,1692,220,1998,2017
Red Blend,231,94,1999,2017
Rosé,92,53,2005,2017
Sauvignon Blanc,492,140,1998,2017
Sparkling Blend,194,16,1996,2015
Syrah,247,89,1999,2017
White Blend,38,23,1998,2016
Zinfandel,639,115,1997,2017
